Gr. Nr.,Ebene,Gruppierung,Domain
00/00/00,Bundesebene,"DPSG Bundesverband",dpsg.de
01/00/00,Diözese,"Diözesanverband Aachen",dpsg-ac.de
01/01/00,Bezirk,"RheinBezirk",rheinbezirk.de
01/01/01,Stamm,"Krefeld-Cracau, St. Elisabeth",lagerfeuer.org
01/01/02,Stamm,"Krefeld, St. Norbertus",-
01/01/03,Stamm,"Krefeld, Inrath",dpsg-inrath.de
01/01/05,Stamm,"Stamm Linn",stamm-linn.de
01/01/06,Stamm,"Meerbusch-Lank-Latum, Lank Rheinfranken",stamm-lank.de
01/01/07,Stamm,"Krefeld-Uerdingen/Ostgoten",ostgoten.de
01/01/08,Stamm,"Krefeld-Forstwald",dpsg-forstwald.de
01/01/09,Stamm,"Krefeld-Lindenthal, Michael",stamm-st-michael.de
01/01/10,Stamm,"Krefeld-Hüls, Raubritter",raubritter-huels.de
01/01/11,Stamm,"Krefeld, Kreuz-Ritter",stamm-kreuz-ritter.de
01/02/00,Bezirk,"Bezirk Grenzland",dpsg-grenzland.de
01/02/01,Stamm,"Schiefbahn, St. Hubertus",pfadfinder-schiefbahn.de
01/02/02,Stamm,"St. Lambertus Breyell",dpsg-breyell.de
01/02/04,Stamm,"Kaldenkirchen, St. Clemens",-
01/02/05,Stamm,"Viersen, St. Remigius",dpsg-viersen.de
01/02/06,Stamm,"St. Sebastian, Lobberich",dpsg-lobberich.de
01/02/07,Stamm,"St. Vitus Oedt",vitusscout.de
01/02/08,Stamm,"Hinsbeck, St. Peter",-
01/02/09,Stamm,"Dülken",dpsg-duelken.de
01/02/12,Stamm,"Kempen",dpsg-kempen.de
01/02/13,Stamm,"Tönisvorst, St. Tönis",dpsg-st-toenis.de
01/02/14,Stamm,"Kempen, St. Hubert",dpsg-st-hubert.de
01/02/15,Stamm,"Willich-Wekeln, St. Katharina",dpsg-willich.de
01/03/00,Bezirk,"Bezirk Mönchengladbach",dpsg-mg.de
01/03/01,Stamm,"Mönchengladbach, Scheuburg",scheuburg.de
01/03/02,Stamm,"Mönchengladbach, Kreuzfahrer",pfadfinder-odenkirchen.de
01/03/03,Stamm,"Mönchengladbach, Giesenkirchen",stamm-giesenkirchen.de
01/03/04,Stamm,"Mönchengladbach-Rheydt, Cityscouts",cityscouts.org
01/03/05,Stamm,"Mönchengladbach, Windberg",stamm-windberg.de
01/03/06,Stamm,"Jüchen-Bedburdyck, St. Martinus",-
01/03/08,Stamm,"Mönchengladbach, Rabenhorst",stamm-rabenhorst.de
01/03/09,Stamm,"Mönchengladbach, Bettrath-Neuwerk",dpsgbettrath.de
01/03/10,Stamm,"Mönchengladbach-Holt, Martin-Luther-King",dpsgmlk.de
01/03/12,Stamm,"Mönchengladbach-Eicken, Trotzenburg",trotzenburg.de
01/03/14,Stamm,"Stamm Otzenrath",pfadfinder-otzenrath.de
01/03/15,Stamm,"Stamm Salier Meerkamp eV",salier-meerkamp.de
01/03/16,Stamm,"Hochneukirch",stamm-hochneukirch.de
01/03/17,Stamm,"Mönchengladbach-Rheydt, Fabula",stamm-fabula.de
01/04/00,Bezirk,"Bezirk Heinsberg",-
01/04/03,Stamm,"Gangelt, St. Nikolaus",g-scouts.de
01/04/07,Siedlung,"Hückelhoven-Doveren, Kreuzherren",-
01/04/10,Stamm,"Wegberg, Titus Brandsma",dpsgwegberg.de
01/04/12,Stamm,"Wegberg-Dalheim",dpsg-dalheim.de
01/04/13,Stamm,"Erkelenz-Mitte, St. Lambertus",pfadfinder-erkelenz.de
01/05/00,Bezirk,"Bezirk Düren",bezirk-dueren.de
01/05/01,Stamm,"Langerwehe",dpsg-langerwehe.de
01/05/03,Stamm,"Merzenich, St. Laurentius",-
01/05/05,Stamm,"Jülich, Franz von Sales",pfadfinder-juelich.de
01/05/06,Stamm,"Linnich",rurlinge.de
01/05/08,Stamm,"Siersdorf, Kreuzritter",kreuzritter-siersdorf.de
01/05/09,Stamm,"Düren-Arnoldsweiler, St. Arnold",pfadfinder-st-arnold.de
01/05/15,Stamm,"Düren, Wildgänse St. Anna",wildgaense-st-anna.de
01/06/00,Bezirk,"Bezirk Aachen-Land",-
01/06/03,Stamm,"Eschweiler-Roehe, Deutschritter",deutschritter-roehe.de
01/06/04,Stamm,"Dürwiss, St. Bonifatius",-
01/06/05,Stamm,"Eschweiler-Röthgen, Hohensteiner",hohensteiner.com
01/06/06,Stamm,"Stolberg",dpsg-stolberg.de
01/06/09,Stamm,"Stolberg-Schevenh., Wehebachthaler",wehebachthaler.de
01/06/12,Stamm,"Stolberg-Breinig/Dorff",dpsg-breinig-dorff.de
01/06/14,Stamm,"Kohlscheid I",dpsg-kohlscheid1.de
01/06/16,Stamm,"Würselen, Bardenberg",pfadfinder-bardenberg.de
01/06/17,Stamm,"Herzogenrath, Kämpchen-Bank",-
01/06/20,Stamm,"Wuerselen, St. Pius X",-
