Gr. Nr.,Ebene,Gruppierung,Domain,AS,CMS
00/00/00,Bundesebene,DPSG Bundesverband,dpsg.de,Hetzner Online GmbH,Drupal
01/00/00,Diözese,Diözesanverband Aachen,dpsg-ac.de,Hetzner Online GmbH,WordPress
01/01/00,Bezirk,RheinBezirk,rheinbezirk.de,Microsoft Corporation,Unknown
01/01/01,Stamm,"Krefeld-Cracau, St. Elisabeth",lagerfeuer.org,Microsoft Corporation,Unknown
01/01/02,Stamm,"Krefeld, St. Norbertus",-,,
01/01/03,Stamm,"Krefeld, Inrath",dpsg-inrath.de,One.com A/S,WordPress
01/01/05,Stamm,Stamm Linn,stamm-linn.de,Hetzner Online GmbH,Unknown
01/01/06,Stamm,"Meerbusch-Lank-Latum, Lank Rheinfranken",stamm-lank.de,Strato GmbH,WordPress
01/01/07,Stamm,Krefeld-Uerdingen/Ostgoten,ostgoten.de,EVANZO e-commerce GmbH,WordPress
01/01/08,Stamm,Krefeld-Forstwald,dpsg-forstwald.de,uvensys GmbH,Joomla
01/01/09,Stamm,"Krefeld-Lindenthal, Michael",stamm-st-michael.de,ecotel communication ag,Joomla
01/01/10,Stamm,"Krefeld-Hüls, Raubritter",raubritter-huels.de,Strato GmbH,Unknown
01/01/11,Stamm,"Krefeld, Kreuz-Ritter",stamm-kreuz-ritter.de,IONOS SE,WordPress
01/02/00,Bezirk,Bezirk Grenzland,dpsg-grenzland.de,manitu GmbH,WordPress
01/02/01,Stamm,"Schiefbahn, St. Hubertus",pfadfinder-schiefbahn.de,"Cloudflare, Inc.",HTTP Status 403
01/02/02,Stamm,St. Lambertus Breyell,dpsg-breyell.de,dogado GmbH,WordPress
01/02/04,Stamm,"Kaldenkirchen, St. Clemens",-,,
01/02/05,Stamm,"Viersen, St. Remigius",dpsg-viersen.de,Hetzner Online GmbH,RemoteDisconnected
01/02/06,Stamm,"St. Sebastian, Lobberich",dpsg-lobberich.de,Hosting.de GmbH,Unknown
01/02/07,Stamm,St. Vitus Oedt,vitusscout.de,manitu GmbH,Unknown
01/02/08,Stamm,"Hinsbeck, St. Peter",-,,
01/02/09,Stamm,Dülken,dpsg-duelken.de,Vautron Rechenzentrum AG,WordPress
01/02/12,Stamm,Kempen,dpsg-kempen.de,dogado GmbH,Joomla
